"","carb","arom15","arom16","trough16","acids","aliph28","trough28","aliph29"
"37",1033,1510,1610,1678,1724,2851,2866,2918
"38",1034,1510,1615,1678,1710,2851,2867,2919
"39",1033,1513,1608,1685,1712,2851,2865,2919
"40",1030,1512,1610,1680,1708,2851,2871,2919
"41",1035,1514,1607,1688,1707,2850,2863,2918
"42",1033,1511,1607,1686,1708,2851,2871,2919
"43",1035,1513,1607,1673,1732,2851,2866,2919
"44",1034,1513,1607,1673,1711,2851,2863,2918
"45",1036,1513,1607,1676,1731,2851,2860,2919
"46",1035,1513,1607,1678,1729,2851,2863,2919
"47",1035,1513,1607,1682,1732,2851,2865,2919
"48",1037,1513,1603,1689,1734,2850,2865,2918
"49",1037,1513,1600,1687,1734,2850,2869,2918
"50",1033,1513,1602,1708,1733,2850,2867,2918
"72",1035,1512,1635,1692,1735,2850,2869,2919
"73",1033,1512,1634,1695,1734,2850,2866,2919
"74",1034,1513,1633,1694,1734,2850,2867,2918
"75",1032,1511,1635,1692,1734,2850,2868,2918
"76",1037,1510,1631,1689,1735,2850,2865,2918
"77",1036,1507,1616,1680,1732,2851,2873,2919
"78",1037,1504,1607,1685,1731,2851,2869,2919
"79",1034,1512,1628,1690,1733,2851,2865,2919
"80",1036,1513,1631,1687,1731,2852,2865,2918
"81",1037,1513,1609,1687,1734,2850,2865,2919
"82",1034,1510,1627,1688,1733,2850,2873,2918
"83",1036,1512,1627,1687,1734,2850,2867,2918
"84",1035,1512,1623,1685,1729,2851,2865,2918
"85",1034,1511,1606,1685,1728,2850,2874,2919
"86",1038,1513,1603,1685,1728,2851,2867,2918
"87",1034,1510,1619,1682,1734,2850,2866,2918
"88",1032,1507,1616,1685,1725,2850,2869,2919
"89",1032,1506,1595,1685,1725,2852,2865,2920
"51",1034,1514,1610,1679,1727,2852,2858,2919
"52",1034,1514,1642,1684,1733,2853,2861,2920
"53",1034,1513,1635,1683,1733,2852,2865,2919
"54",1035,1513,1640,1690,1725,2851,2872,2919
"55",1035,1508,1631,1676,1716,2851,2874,2919
"56",1034,1508,1628,1674,1708,2851,2875,2919
"57",1034,1513,1622,1682,1727,2850,2867,2918
"58",1033,1512,1623,1683,1710,2850,2871,2918
"59",1032,1512,1623,1683,1708,2851,2869,2918
"60",1032,1512,1623,1683,1710,2850,2873,2918
"9",1028,1514,1609,1679,1720,2850,2860,2919
"10",1031,1514,1615,1690,1720,2851,2872,2919
"11",1027,1514,1633,1686,1716,2852,2860,2919
"12",1032,1514,1634,1689,1719,2851,2863,2920
"13",1033,1513,1628,1689,1713,2851,2870,2919
"14",1033,1514,1615,1687,1708,2851,2868,2919
"15",1033,1513,1633,1679,1728,2851,2867,2919
"16",1032,1511,1615,1679,1709,2852,2869,2921
"17",1033,1514,1615,1681,1727,2851,2866,2919
