"sample_id","core_label","sampling_date","sampling_longitude","sampling_longitude_err","sampling_latitude","sampling_latitude_err","sampling_altitude","sampling_altitude_err","site_id","sample_depth_lower","sample_depth_lower_err","sample_depth_upper","sample_depth_upper_err","sample_type","sample_microhabitat","sample_treatment","comments","N","N_err","C","C_err","O","O_err","H","H_err","S","S_err","P","P_err","K","K_err","Ca","Ca_err","Na","Na_err","Mg","Mg_err","Al","Al_err","Si","Si_err","Cl","Cl_err","Ti","Ti_err","Cr","Cr_err","Mn","Mn_err","Fe","Fe_err","Cu","Cu_err","Zn","Zn_err","As","As_err","Br","Br_err","Rb","Rb_err","Sr","Sr_err","Ba","Ba_err","Pb","Pb_err","d13C","d13C_err","d15N","d15N_err","d18O","d18O_err","d2H","d2H_err","mass","mass_err","volume","volume_err","bulk_density","bulk_density_err","loss_on_ignition","loss_on_ignition_err","pH","pH_err","electron_accepting_capacity","electron_accepting_capacity_err","electron_donating_capacity","electron_donating_capacity_err","heat_of_combustion","heat_of_combustion_err","enthalpy_of_formation","enthalpy_of_formation_err","entropy_of_formation","entropy_of_formation_err","Gibbs_energy_of_formation","Gibbs_energy_of_formation_err","Klason_lignin_content","Klason_lignin_content_err","holocellulose_mass_content","holocellulose_mass_content_err","age_14C","age_14C_err","lab_code_14C","activity_210Pb","activity_210Pb_err","mass_210Pb","mass_210Pb_err","volume_210Pb","volume_210Pb_err","bulk_density_210Pb","bulk_density_210Pb_err","counting_method_210_Pb","laboratory_label_210Pb","background_activity_reached_210Pb","activity_137Cs","activity_137Cs_err","age_137Cs","age_137Cs_err","hydraulic_conductivity","hydraulic_conductivity_err","porosity","porosity_err","macroporosity","macroporosity_err","data_source","data_source_doi"
"ZimBog.195.200","Zim Bog","2013-05-31",-92.7146,,47.1791,,,,2,200,"NA",195,"NA","peat","NA","control","no exact sampling date given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII Bog_60","RL-II Bog","2009-01-01",-92.7146,,47.1791,,,,3,60,"NA",60,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII Bog_100","RL-II Bog","2009-01-01",-92.7146,,47.1791,,,,3,100,"NA",100,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII Bog_200","RL-II Bog","2009-01-01",-92.7146,,47.1791,,,,3,200,"NA",200,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII Bog_280","RL-II Bog","2009-01-01",-92.7146,,47.1791,,,,3,280,"NA",280,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; no 14C uncalibrated age error given (only estimated from other samples); it is not clear if the depth value is exact or an average of a lower and upper value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,30,,,,,,,,,,,,,,,,,,,,,,,"Chasar et al. (2000); Chanton et al. (2008)","10.1029/1999GB001221"
"RLII.Bog.31.32","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,32,"NA",31,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.41.42","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,42,"NA",41,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.51.52","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,52,"NA",51,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.61.62","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,62,"NA",61,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.71.72","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,72,"NA",71,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.87.88","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,88,"NA",87,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.97.98","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,98,"NA",97,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.107.108","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,108,"NA",107,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.117.118","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,118,"NA",117,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.127.128","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,128,"NA",127,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.137.138","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,138,"NA",137,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.147.148","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,148,"NA",147,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.157.158","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,158,"NA",157,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.167.168","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,168,"NA",167,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
"RLII.Bog.177.178","RL-II Bog","2009-01-01",-94.6976,,48.2547,,,,3,178,"NA",177,"NA","peat","NA","control","coordinates only approximately; no exact sampling date given; woody Sphagnum peat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA",,,,,,,,,,,,,,,,,,,,,,,"NA","NA"
