"wavenumber","P_1_A_BRose_AG_Leaves","P_1_A_BRose_AG_Stems","P_1_A_Cloud_AG_Leaves","P_5_CN_Cloud_AG_Leaves","P_1_A_Cloud_AG_Stems","P_3_A_Cloud_AG_Stems","P_2_CN_Crow_AG_Leaves","P_1_CN_Crow_AG_Stems","P_5_A_DBirch_AG_Stems","P_5_A_Lingon_AG_Stems","P_3_A_Lichen_AG","P_3_A_MossA_AG","P_2_A_SphagFusc_AG","T3Far_Sphagnum","Spruce_May2016_Green.Sphagnum.angustifolium","Spruce_May2016_Red.Sphagnum.magellanicum","Spruce_May2016_Eriophorum.vaginatum","Spruce_May2016_Eriophorum.viridicarinatum","Spruce_May2016_Carex.Trisperma","E_1_A_CarexRot_AG","E_2_A_ErioAng_AG","E_4_A_ErioAng.Litter_AG","E_2_CN_ErioAng_AG","E_3_CN_ErioAng_AG","Pocosin_Pinus","Pocosin_Ilex_inkberry","Pocosin_Persia","Pocosin_Gordonia_stem","Pocosin_Lyonia","Pocosin_Vaccinium","Everglades_Cladium_sawgrass","Brunei.Leaf.1","Brunei.Leaf.5","Brunei.Leaf.6","Brunei.Leaf.10","Brunei.S3.P7.Wood.Block","Brunei.S4.P7.B120.Wood.Block","Brunei.S28.P6.B205.Wood.Block","Brunei.S29.P6.B212.Wood.Block"
2569,0.009386801,0.009170346,0.011664882,0.011430251,0.009347964,0.008807524,0.0104722,0.009266773,0.003888795,0.008441356,0.009729152,0.012446463,0.010224835,0.006124522,0.007978766,0.007942857,0.004783945,0.008683967,0.008058464,0.01094605,0.01135995,0.008521501,0.011253597,0.014882107,0.011617971,0.007154244,0.00637433,0.007082586,0.008896557,0.00875465,0.006640783,0.010265698,0.009772541,0.011035229,0.011392989,0.007474372,0.008598131,0.005891649,0.007875928
2568,0.009324315,0.009098395,0.011578131,0.011374679,0.009200625,0.008770643,0.010365389,0.009200966,0.003888824,0.008511691,0.009615564,0.012359376,0.010166207,0.00615159,0.007938883,0.007918417,0.004735342,0.008709837,0.008055157,0.010864279,0.011278667,0.008508744,0.011173955,0.01485758,0.011677978,0.00720188,0.00637655,0.007060991,0.008862979,0.008750487,0.006624588,0.010189973,0.009872083,0.010976366,0.011450826,0.007371827,0.008554833,0.005839532,0.007802763
2567,0.009209268,0.008969385,0.011461088,0.011311311,0.009077393,0.008684082,0.010220174,0.008997622,0.003907121,0.008516275,0.009452605,0.012209202,0.010042572,0.006149191,0.007906466,0.007918179,0.004727251,0.008716109,0.008075719,0.010754399,0.011203504,0.008494754,0.011029138,0.014768888,0.011734955,0.007285402,0.006367559,0.00706281,0.008857579,0.008748424,0.006607906,0.010121177,0.009962539,0.010924694,0.01150895,0.007281127,0.008521754,0.005808545,0.007694583
2566,0.009078656,0.008815974,0.011356462,0.011239508,0.009004402,0.008583078,0.010078374,0.008746533,0.003951182,0.008498404,0.009302625,0.012040747,0.009899736,0.006116328,0.007881575,0.007934971,0.004775915,0.008706775,0.008112313,0.010650118,0.011133101,0.008473668,0.010849274,0.014632261,0.011734937,0.007346965,0.006353821,0.007077594,0.008874044,0.008758485,0.006589424,0.010094548,0.009974039,0.010880277,0.011534656,0.007245802,0.008472232,0.005824744,0.007660184
2565,0.008981447,0.008691372,0.011274522,0.01117077,0.008975177,0.008490914,0.009979069,0.008558621,0.00401778,0.008502511,0.009214639,0.01190057,0.009784478,0.006065596,0.007850552,0.00793295,0.00484224,0.008683761,0.008152289,0.010575604,0.011060616,0.008447611,0.01069172,0.014494886,0.01166558,0.007336,0.006346294,0.007090528,0.008885697,0.008770774,0.006565959,0.010112617,0.00991428,0.010852496,0.011519684,0.007294997,0.008371558,0.005886843,0.007749308
2564,0.008946191,0.008636309,0.011205994,0.01112498,0.008965514,0.008421235,0.009935213,0.0084868,0.004075666,0.008529272,0.009204017,0.011813549,0.009719441,0.006005493,0.007794613,0.007886766,0.004871406,0.008638425,0.008169284,0.010539635,0.010988003,0.008422807,0.010605071,0.014394022,0.011563326,0.007255792,0.006347428,0.007097104,0.008877406,0.008766415,0.006541303,0.010132571,0.009836252,0.010850345,0.011468395,0.007401676,0.008238416,0.005954411,0.007887112
2563,0.00895332,0.008652817,0.01114488,0.011104975,0.008953269,0.00838908,0.009928577,0.008502537,0.004081331,0.008550948,0.009256739,0.011783638,0.009702292,0.005936702,0.007712296,0.007808975,0.004846613,0.008572041,0.008142702,0.010532271,0.010932257,0.00839506,0.010589137,0.014329447,0.011469455,0.007160747,0.006349319,0.007104767,0.008862993,0.008738354,0.006526743,0.010120213,0.009781469,0.010860733,0.011389481,0.007485956,0.008136595,0.005982001,0.00795093
2562,0.00894523,0.008706769,0.011092016,0.01108674,0.008929627,0.008401579,0.009931553,0.008543423,0.004018306,0.008546169,0.009341111,0.011804932,0.009718497,0.005866404,0.00762419,0.007727854,0.004786701,0.00850373,0.008076037,0.010530583,0.010915525,0.00835317,0.010601807,0.014280061,0.011389976,0.007107968,0.006345384,0.007121758,0.008865767,0.008696184,0.006531527,0.0100924,0.009758119,0.010856981,0.011306439,0.007487448,0.008114842,0.005954386,0.007899452
2561,0.008876449,0.008759343,0.01105278,0.011053242,0.008901023,0.008444873,0.009938913,0.008573978,0.003922257,0.00850767,0.009422052,0.011865657,0.009756043,0.005813664,0.007546539,0.007653079,0.004705938,0.008444266,0.007984107,0.010521578,0.01095121,0.008305033,0.010610834,0.014237874,0.011304598,0.007108411,0.006335137,0.007143582,0.008884094,0.008651112,0.006549532,0.010084172,0.009752949,0.010833365,0.011250164,0.00742075,0.008165408,0.005881793,0.007804441
2560,0.008758101,0.008798501,0.011039849,0.011028448,0.008885458,0.008494292,0.009971468,0.008598937,0.003861319,0.008435508,0.009478904,0.011944697,0.009812481,0.005793679,0.007470716,0.007579772,0.004606347,0.008379526,0.007876604,0.010518381,0.01103372,0.008286376,0.010623945,0.014214468,0.011205702,0.007120939,0.0063156,0.007150234,0.008883773,0.00860356,0.006557801,0.010090972,0.00974839,0.010814289,0.011224153,0.007341497,0.008233198,0.005776395,0.007760343
